feat_variance	0.0000000e0	0.0000000e0	0.0000000e0	5.5788428e3	4.6273163e2	1.2544000e4	5.1908423e3	1.6256250e4	2.4781882e3	1.5312468e1	8.4541445e3	2.9028384e2	3.4225098e2	0.0000000e0	1.8697018e2	2.4347188e3	2.3677405e3	4.0649413e-4	1.5794783e3	1.6470680e2	1.5999264e3	2.7784778e3	1.2786556e3	4.9460438e1	3.0811234e1	9.9953418e2	0.0000000e0	0.0000000e0	0.0000000e0	5.5788408e3	4.6273154e2	1.2544000e4	5.1908408e3	1.6256250e4	2.4781880e3	1.5313161e1	8.4541445e3	2.9028326e2	3.4225049e2	0.0000000e0	1.8697026e2	2.4347183e3	2.3677397e3	4.0649413e-4	4.3085094e4	1.0656006e4	3.7884242e4	8.2033438e3	1.2800748e3	1.3525400e3	8.0102707e1	9.9953442e2
feat_edge_density	0.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	7.4981105e-1	1.0212766e0	1.0000000e0	8.4051400e-1	0.0000000e0	3.1242126e-1	0.0000000e0	1.6210740e-2	0.0000000e0	0.0000000e0	1.0039216e0	0.0000000e0	0.0000000e0	1.7899359e-2	8.1053702e-3	1.0209389e0	2.1276595e-2	0.0000000e0	1.2293144e-1	0.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	7.4981105e-1	1.0212766e0	1.0000000e0	8.4051400e-1	0.0000000e0	3.1242126e-1	0.0000000e0	1.6210740e-2	0.0000000e0	0.0000000e0	1.0039216e0	0.0000000e0	0.0000000e0	2.8706519e-2	2.0263424e-2	1.0212766e0	2.1276595e-2	0.0000000e0	4.9037486e-1	2.2289768e-2	0.0000000e0
feat_chroma_complexity	0.0000000e0	0.0000000e0	0.0000000e0	1.5679788e-8	3.8658234e-1	0.0000000e0	5.9807938e-1	0.0000000e0	4.1570091e-1	7.0089921e-3	0.0000000e0	4.1410148e-1	5.6400418e-1	0.0000000e0	4.1686714e-1	4.1787481e-1	3.2642892e-1	3.0775165e-5	3.3719820e-9	3.0643885e-9	5.5153537e-1	2.0700827e-1	4.5989382e-1	7.0973173e-2	2.2284317e-1	8.0444939e-2	0.0000000e0	0.0000000e0	0.0000000e0	5.8295515e-9	3.8658231e-1	0.0000000e0	5.9807932e-1	0.0000000e0	4.1570088e-1	7.0089716e-3	0.0000000e0	4.1410145e-1	5.6400412e-1	0.0000000e0	4.1686711e-1	4.1787478e-1	3.2642889e-1	0.0000000e0	3.0797011e-8	1.7413319e-8	3.9895639e0	3.7010676e-1	4.5970592e-1	5.9732759e-1	2.8868121e-1	8.0444947e-2
feat_cb_sharpness	0.0000000e0	0.0000000e0	0.0000000e0	1.3772328e-8	0.0000000e0	2.9444289e-8	1.1533136e0	0.0000000e0	4.0279162e-1	1.1725631e-3	0.0000000e0	2.1841265e-3	1.4752567e-2	0.0000000e0	9.3307085e-3	3.3794263e-1	9.3803918e-3	0.0000000e0	1.2169514e-9	4.1554438e-10	6.1353952e-1	1.9591137e-4	2.3449985e-2	5.3259201e-2	1.0640892e-2	5.2476703e-4	0.0000000e0	0.0000000e0	0.0000000e0	1.8758861e-8	0.0000000e0	0.0000000e0	1.1533136e0	0.0000000e0	4.0279159e-1	1.1725780e-3	0.0000000e0	2.1841270e-3	1.4752566e-2	0.0000000e0	9.3307076e-3	3.3794257e-1	9.3803909e-3	0.0000000e0	1.8135545e-8	1.5078324e-8	3.9577148e0	3.4031668e-3	2.3468183e-2	4.7847328e-1	1.4982520e-2	5.2476092e-4
feat_cr_sharpness	0.0000000e0	0.0000000e0	0.0000000e0	1.3772328e-8	0.0000000e0	2.9444289e-8	3.1727457e-1	0.0000000e0	2.9689178e-1	2.7490277e-3	0.0000000e0	3.6780576e-3	1.0146281e-2	0.0000000e0	6.4173229e-3	2.8879488e-1	2.1992158e-2	0.0000000e0	1.2169514e-9	4.1554438e-10	5.9032863e-1	1.9591127e-4	8.2960473e-3	4.9905129e-2	3.2523289e-2	5.8014630e-3	0.0000000e0	0.0000000e0	0.0000000e0	1.8758861e-8	0.0000000e0	0.0000000e0	3.1727448e-1	0.0000000e0	2.9689175e-1	2.7490351e-3	0.0000000e0	3.6780578e-3	1.0146280e-2	0.0000000e0	6.4173224e-3	2.8879485e-1	2.1992154e-2	0.0000000e0	1.8135545e-8	1.5078324e-8	4.8847394e0	9.9675136e-4	8.2778474e-3	5.3822881e-1	4.5215219e-2	5.8014616e-3
feat_uniformity	1.0000000e0	1.0000000e0	1.0000000e0	0.0000000e0	1.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	1.0000000e0	6.2500000e-2	1.0000000e0	1.0000000e0	0.0000000e0	1.0000000e0	0.0000000e0	0.0000000e0	1.0000000e0	7.0833331e-1	8.9583331e-1	0.0000000e0	1.0000000e0	1.0000000e0	7.5000000e-1	1.0000000e0	1.8750000e-1	1.0000000e0	1.0000000e0	1.0000000e0	0.0000000e0	1.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	1.0000000e0	6.2500000e-2	1.0000000e0	1.0000000e0	0.0000000e0	1.0000000e0	0.0000000e0	0.0000000e0	1.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	7.2222221e-1	1.0000000e0	2.5000000e-1	1.0000000e0	1.8750000e-1
feat_flat_color_block_ratio	1.0000000e0	1.0000000e0	1.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	6.2500000e-2	1.0000000e0	1.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	1.0000000e0	2.5000000e-1	7.2916669e-1	0.0000000e0	9.4444442e-1	0.0000000e0	3.7500000e-1	0.0000000e0	6.2500000e-2	1.0000000e0	1.0000000e0	1.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	6.2500000e-2	1.0000000e0	1.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	1.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	6.6666669e-1	0.0000000e0	0.0000000e0	0.0000000e0	6.2500000e-2
feat_colourfulness	0.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	1.4970206e2	0.0000000e0	1.8131224e2	0.0000000e0	1.3771422e2	2.4153685e1	0.0000000e0	1.7279660e2	2.1381859e2	0.0000000e0	1.4579449e2	1.3865105e2	1.1799041e2	4.2426407e1	0.0000000e0	0.0000000e0	1.7548770e2	7.5173630e1	1.5757109e2	2.1903481e1	8.9966805e1	5.6547394e1	0.0000000e0	0.0000000e0	0.0000000e0	0.0000000e0	1.4970204e2	0.0000000e0	1.8131223e2	0.0000000e0	1.3771420e2	2.4153687e1	0.0000000e0	1.7279659e2	2.1381856e2	0.0000000e0	1.4579449e2	1.3865105e2	1.1799040e2	4.2437450e1	0.0000000e0	0.0000000e0	1.3206245e3	1.3669580e2	1.5746904e2	1.8791336e2	1.1060402e2	5.6547390e1
feat_laplacian_variance	0.0000000e0	0.0000000e0	0.0000000e0	4.4553940e-6	4.1641306e-7	1.2845058e1	3.2550180e0	1.0067947e1	3.2062776e0	2.9489701e-3	3.3855371e0	8.0598489e-4	2.4476671e-3	0.0000000e0	1.2194724e-8	1.7025232e1	1.5362084e-14	0.0000000e0	1.5752092e-2	8.6056546e-4	2.8795011e0	1.4324063e-2	7.9962479e-7	4.5164652e-2	2.2830823e-3	2.8296623e-5	0.0000000e0	0.0000000e0	0.0000000e0	4.4553672e-6	4.1639566e-7	1.2845055e1	3.2550182e0	1.0067946e1	3.2062771e0	2.9489428e-3	3.3855371e0	8.0598454e-4	2.4476671e-3	0.0000000e0	1.2194434e-8	1.7025230e1	1.9763356e-14	0.0000000e0	4.0804666e-1	4.0409956e-2	7.4639328e1	4.1456275e-2	1.2018012e-10	1.7334001e0	5.1436857e-3	2.8296274e-5
feat_variance_spread	0.0000000e0	0.0000000e0	0.0000000e0	3.1477493e-1	3.1470788e-1	3.0103001e-1	3.0103001e-1	3.0103001e-1	3.6255372e-1	3.9753541e-1	3.5489717e-1	8.4740412e-4	0.0000000e0	0.0000000e0	2.5616696e-1	3.2444650e-1	3.0103290e-1	0.0000000e0	1.2008935e0	1.1787726e0	4.2639527e-1	8.6336935e-1	3.1574363e-1	7.6611996e-1	5.7947892e-1	3.6025396e-1	0.0000000e0	0.0000000e0	0.0000000e0	3.1477705e-1	3.1466481e-1	3.0103001e-1	3.0103001e-1	3.0103001e-1	3.6255372e-1	3.9751279e-1	3.5489717e-1	8.4740412e-4	5.3011230e-5	0.0000000e0	2.5616696e-1	3.2444680e-1	3.0103621e-1	0.0000000e0	1.1938714e0	1.1425672e0	4.2256510e-1	7.6293707e-1	3.0108222e-1	6.9410121e-1	7.2931683e-1	3.6025298e-1
